#{"t_start": 1775204662.012896, "env_id": "None"}
r,l,t
13.996816,240,548.46991
13.996816,240,566.596762
1.723465,32,567.137678
1.67443,30,567.703964
5.195042,78,568.252329
2.013141,35,568.788839
6.542091,107,569.344556
13.996816,240,569.936664
13.996816,240,570.538024
1.549404,28,571.072003
1.653708,29,571.605932
13.996816,240,572.205893
1.855568,33,572.741536
1.541335,28,573.273548
13.996816,240,573.873608
13.996816,240,574.994992
2.738324,28,575.492364
4.081878,51,576.066695
3.748324,44,576.614738
1.754055,35,577.1456
4.039891,46,577.847426
13.996816,240,578.476158
4.689865,68,579.023721
13.996816,240,579.62707
3.820554,47,580.16807
3.205917,38,580.698854
13.996816,240,581.292686
1.571172,31,581.831098
13.996816,240,582.429472
1.926484,33,582.965985
3.064449,36,583.500832
1.611361,30,584.032872
1.41694,31,584.616946
1.502902,34,585.151715
1.722923,33,585.718182
4.745152,68,586.262871
1.376384,26,586.834352
3.745202,55,587.377362
1.897815,32,587.836419
1.358584,25,588.368055
2.430556,30,588.936624
1.493384,28,589.470284
1.49484,27,590.036502
3.639438,33,591.065811
13.996816,240,591.662554
1.800386,31,592.206284
2.872997,33,592.77464
1.949489,32,593.307964
3.611073,36,593.881927
13.996816,240,594.489873
3.752345,45,595.028734
1.871034,34,595.559232
13.996816,240,596.157073
1.503126,29,596.692184
2.801827,31,597.226155
2.772103,30,597.759378
1.936941,34,598.294966
1.698919,35,598.829158
13.996816,240,599.427936
3.708245,47,599.967108
1.586424,29,600.495112
13.996816,240,601.095916
13.996816,240,601.696054
1.637992,31,602.230246
13.996816,240,603.419731
1.889043,35,603.950025
2.238059,41,604.485578
2.869047,32,605.016179
13.996816,240,605.612471
3.154877,37,606.15192
13.996816,240,606.745951
13.996816,240,607.349029
13.996816,240,607.949705
2.184589,34,608.639994
13.996816,240,609.234478
13.996816,240,609.83461
1.599519,27,610.368796
2.016976,36,610.905312
1.178542,24,611.435887
3.533607,37,611.972759
1.864849,33,612.505708
2.235307,31,613.038778
13.996816,240,614.218717
3.260369,34,614.757779
2.022749,33,615.290775
5.025292,67,615.835118
1.928846,37,616.376363
2.039363,36,616.909928
13.996816,240,617.507498
7.104667,121,618.070295
3.707614,44,618.613357
4.100503,29,619.142591
3.364235,36,619.67832
3.60524,42,620.2142
1.289589,30,620.744258
2.772276,30,621.260883
13.996816,240,621.859561
1.444819,28,622.394959
13.996816,240,622.991568
3.374393,40,623.532796
13.996816,240,624.128691
1.987639,38,625.987767
13.996816,240,626.630394
1.826303,31,627.166505
13.996816,240,628.345796
3.472303,34,628.88515
2.693956,42,629.420654
5.097922,69,629.962862
2.466191,32,630.501984
13.996816,240,631.10065
13.996816,240,631.700635
1.393961,25,632.235169
2.607616,28,632.769495
2.97547,49,633.309613
1.380892,27,633.83647
3.640748,44,634.375889
13.996816,240,634.970236
13.996816,240,635.570164
2.419848,36,636.107881
1.757658,32,636.64035
13.996816,240,637.236162
1.551663,28,637.773283
4.458518,57,638.349714
6.782823,107,638.91555
3.297998,47,640.042288
2.719402,38,640.578896
13.996816,240,641.484588
3.795265,44,642.032027
3.670043,66,642.572367
2.518598,44,643.11576
3.913608,40,643.648164
13.996816,240,644.243813
1.895867,35,644.781229
3.451537,41,645.316678
1.998436,32,645.847224
13.996816,240,646.445475
2.019648,36,646.982878
2.625794,28,647.514652
13.996816,240,648.113796
13.996816,240,648.713665
1.468345,26,649.248052
3.43117,37,649.78511
13.996816,240,650.382089
2.681206,31,650.917432
1.779925,33,651.451943
13.996816,240,652.631306
13.996816,240,653.235211
3.547593,30,653.772758
2.00415,35,654.355918
2.87644,45,654.925572
13.996816,240,655.525649
1.605463,32,656.072625
13.996816,240,656.668027
1.534474,31,657.239693
2.603597,28,657.772884
2.891969,47,658.345392
13.996816,240,658.940811
2.747079,36,659.476391
3.178667,29,660.057976
1.541119,30,660.591702
13.996816,240,661.190557
1.643972,30,661.726109
13.996816,240,662.376281
13.996816,240,663.247432
3.44762,33,663.762437
3.485766,26,664.311686
13.996816,240,664.911306
2.022358,32,665.463668
2.781325,30,666.030509
13.996816,240,666.64626
13.996816,240,667.279853
3.03826,35,668.211964
2.280242,36,668.750925
3.149866,37,669.32013
13.996816,240,669.699196
8.201965,128,670.296184
1.503704,28,670.833208
2.861743,32,671.401603
3.703534,44,671.938359
1.884932,32,672.485907
3.611302,44,673.022544
2.890849,50,673.59407
2.407931,30,674.13634
1.403078,25,674.702421
3.255436,39,675.240419
2.913617,49,675.826696
1.856089,32,676.387882
3.209128,32,676.922571
3.492247,42,677.458526
3.658866,49,677.994509
1.801128,32,679.04033
13.996816,240,679.641052
1.648864,30,680.190834
13.996816,240,680.787209
13.996816,240,681.390665
4.552917,63,681.853245
3.231239,38,682.395464
13.996816,240,683.025559
2.082297,34,683.594601
13.996816,240,684.193
3.252119,53,684.734955
13.996816,240,687.756668
3.242995,48,688.302685
13.996816,240,688.946939
3.935065,27,689.513972
13.996816,240,690.615228
1.916313,35,691.150138
13.996816,240,691.783733
13.996816,240,692.382541
2.448995,44,692.954526
1.54634,27,693.482935
13.996816,240,694.08228
13.996816,240,694.683111
4.090657,49,695.224678
1.687308,31,695.752631
1.460024,30,696.285603
3.579797,42,696.823153
2.472983,37,697.355438
3.096121,36,697.888873
1.473482,26,698.46967
2.052634,34,699.005533
13.996816,240,699.602909
13.996816,240,701.001806
4.626353,72,702.044232
1.576578,31,702.578161
3.948047,45,703.112595
1.74206,32,703.642123
13.996816,240,704.246226
4.131549,50,704.782579
4.400251,57,705.334887
2.811953,31,705.876616
9.222964,150,706.447329
3.592771,43,706.981281
13.996816,240,707.577251
2.620943,28,708.111412
13.996816,240,708.710389
13.996816,240,709.311012
13.996816,240,709.911083
1.975275,33,710.447713
3.532285,31,710.98057
13.996816,240,711.576326
13.996816,240,712.668973
2.519099,37,713.201357
