#{"t_start": 1775033592.2373734, "env_id": "None"}
r,l,t
0.454783,5,431.136008
0.928924,19,431.35504
0.620207,185,431.945776
0.309207,13,432.435851
2.628264,48,432.980495
12.792393,240,434.096871
12.986346,237,434.693709
7.217291,135,435.293031
6.559713,121,435.854273
1.232219,8,436.387525
12.787697,240,436.993278
12.815949,240,437.578733
1.588866,27,438.144285
0.183497,10,438.671964
2.397228,24,439.210154
12.787866,240,439.811651
12.815161,240,440.411383
1.987184,38,440.949353
2.300149,30,441.48068
0.252292,9,442.007997
0.25865,18,442.544144
0.258038,23,443.079606
11.599509,219,444.164684
3.094133,49,444.705914
2.93906,16,445.229239
2.041412,37,445.769823
12.78885,240,446.366936
12.068483,188,446.951582
5.246846,19,447.333668
1.785747,29,447.903023
1.84402,24,448.434129
12.791602,240,449.037307
2.395111,42,449.574268
13.013006,240,450.168857
0.422512,9,450.698482
1.68019,28,451.237367
12.792609,240,451.837161
12.784992,240,453.422761
12.788247,240,454.023784
12.809129,240,455.100722
12.780029,240,455.708876
0.831672,145,456.277705
2.078213,38,456.81277
8.949751,162,457.38425
13.741539,219,457.984686
12.713032,240,458.628765
0.974391,14,459.023246
7.675617,139,459.596541
12.761147,240,460.194177
1.970995,33,460.730425
2.985505,54,461.270665
12.786238,240,461.879588
3.213274,62,462.423679
12.761998,240,463.514145
6.829772,128,464.078992
1.920539,23,464.613274
13.258993,240,465.214336
12.783028,240,465.81494
4.798297,17,466.346172
3.447957,59,466.864715
1.591871,27,467.400384
6.687049,110,467.994278
12.783656,240,468.600952
2.079935,38,469.138946
0.289103,13,469.69843
0.170044,7,470.229185
12.788739,240,470.834793
1.943227,26,471.369228
1.194197,18,471.901006
12.778475,240,472.502948
0.238033,21,473.036018
2.55721,26,473.571028
12.856984,240,474.758957
12.78769,240,475.354349
0.37907,20,475.887648
12.828153,240,477.585852
12.782337,240,478.190551
12.651377,240,478.790328
0.271055,14,479.321822
12.779438,240,479.925286
0.417733,22,480.493754
6.194326,112,481.054545
12.784686,240,481.657588
6.872483,131,482.226665
4.98981,91,482.781579
2.256167,44,483.316938
12.780638,240,484.48513
3.12156,52,485.021647
12.791167,240,485.642421
12.785011,240,486.246144
12.626306,240,486.847712
12.933882,240,487.44871
1.532954,28,487.982792
8.201536,152,488.554849
12.785298,240,489.147073
0.143449,17,489.68054
12.789419,240,490.281237
2.029619,37,490.821247
2.397074,44,491.359309
4.744447,87,491.922197
12.790691,240,493.013616
12.784447,240,493.619524
12.783011,240,494.220568
3.516198,66,494.767038
5.708981,93,495.325754
12.762077,240,495.92209
12.782698,240,496.522284
12.213082,240,498.125156
1.538533,25,498.657128
12.777943,240,499.256435
3.52185,70,499.806578
8.366814,155,500.381742
2.300794,39,500.913987
2.184979,38,501.924915
12.257956,240,502.531389
0.182198,47,503.069521
12.790144,240,503.658038
1.577246,27,504.194821
1.980733,41,504.716679
0.556677,8,505.239938
12.782016,240,505.855563
12.77116,235,506.460603
3.614742,65,507.014645
13.021387,240,507.614246
12.807153,240,508.213503
1.609985,35,508.751599
12.783055,240,509.347734
0.132665,29,509.883884
12.776003,240,510.968623
7.057384,132,511.534305
12.776602,240,512.132828
1.681864,29,512.669842
1.830042,37,513.2055
12.775856,240,513.821776
12.769551,240,514.419885
0.159436,78,514.986707
12.761946,240,515.586589
1.507425,26,516.120301
0.148434,4,516.647331
12.782359,240,517.254032
1.909978,26,517.788609
1.740005,11,518.317626
12.768544,240,518.921014
12.781739,240,520.117624
1.641346,33,521.268924
1.745253,33,521.810554
0.411732,10,522.337162
12.761778,240,522.943053
